num_observations,balanced_accuracy,accuracy,f1_macro,recall,precision
102,0.7808115240574875,0.8204365079365079,0.6991610384128324,0.7808115240574875,0.6724266968024634
199,0.74675874822757,0.8392857142857143,0.7006313844258508,0.74675874822757,0.6769454794637886
302,0.7976775360956327,0.8933531746031746,0.7767392411792067,0.7976775360956327,0.7599724126206465
501,0.7884487339154056,0.8685515873015873,0.7457761408167198,0.7884487339154056,0.7196848191601917
